epoch,bucket,eth
254518,desynced,96.0
254518,silent,251193.0
254518,uncollected,15200.0
254519,chronic,55188.0
254519,desynced,64.0
254519,silent,235577.0
254520,chronic,55316.0
254520,desynced,128.0
254520,silent,239992.0
254520,uncollected,16096.0
254521,chronic,55220.0
254521,desynced,32.0
254521,silent,242809.0
254521,uncollected,2496.0
254521,wrong-target,2720.0
254522,chronic,55092.0
254522,desynced,32.0
254522,silent,266041.0
254522,uncollected,33504.0
254522,wrong-target,1856.0
254523,chronic,55316.0
254523,desynced,32.0
254523,silent,264505.0
254523,uncollected,21600.0
254523,wrong-target,7136.0
254524,chronic,55188.0
254524,desynced,64.0
254524,silent,265401.0
254524,uncollected,27680.0
254524,wrong-target,128.0
254525,chronic,55316.0
254525,desynced,64.0
254525,silent,262041.0
254525,uncollected,34112.0
254525,wrong-target,36640.0
254526,chronic,54836.0
254526,desynced,96.0
254526,silent,260473.0
254526,uncollected,7968.0
254526,wrong-target,32.0
254527,chronic,55060.0
254527,desynced,32.0
254527,silent,227993.0
254527,uncollected,74912.0
254527,wrong-target,11872.0
254528,chronic,54772.0
254528,desynced,32.0
254528,silent,230105.0
254528,uncollected,53727.0
254528,wrong-target,1600.0
254529,chronic,54964.0
254529,desynced,416.0
254529,silent,233753.0
254529,uncollected,47584.0
254529,wrong-target,4928.0
254530,chronic,54708.0
254530,desynced,1792.0
254530,silent,243257.0
254530,uncollected,35040.0
254530,wrong-target,8832.0
254531,chronic,55092.0
254531,desynced,64.0
254531,silent,254233.0
254531,uncollected,54432.0
254531,wrong-target,11520.0
254532,chronic,55124.0
254532,desynced,96.0
254532,silent,227289.0
254532,uncollected,149311.0
254532,wrong-target,960.0
254533,chronic,54804.0
254533,desynced,64.0
254533,silent,221337.0
254533,uncollected,38144.0
254533,wrong-target,1120.0
254534,chronic,54900.0
254534,desynced,128.0
254534,silent,226201.0
254534,uncollected,66463.0
254534,wrong-target,7136.0
254535,chronic,54868.0
254535,desynced,352.0
254535,silent,262521.0
254535,uncollected,50624.0
254535,wrong-target,1920.0
254536,chronic,54900.0
254536,desynced,32.0
254536,silent,226809.0
254536,uncollected,25408.0
254536,wrong-target,480.0
254537,chronic,54836.0
254537,desynced,96.0
254537,silent,219673.0
254537,uncollected,31584.0
254537,wrong-target,17343.0
254538,chronic,54708.0
254538,desynced,64.0
254538,silent,216313.0
254538,uncollected,64.0
254538,wrong-target,7904.0
254539,chronic,54964.0
254539,desynced,128.0
254539,silent,217785.0
254539,uncollected,64512.0
254540,chronic,54804.0
254540,silent,215609.0
254540,uncollected,29536.0
254540,wrong-target,32.0
254541,chronic,54836.0
254541,desynced,192.0
254541,silent,216313.0
254541,uncollected,3744.0
254541,wrong-target,32.0
254542,chronic,54836.0
254542,desynced,192.0
254542,silent,216217.0
254542,uncollected,5536.0
254542,wrong-target,896.0
